number of trial,rarity *3,rarity *4,rarity *5
1,6,5,0
2,5,6,0
3,8,3,0
4,7,4,0
5,8,3,0
6,5,6,0
7,6,4,1
8,5,4,2
9,4,6,1
10,6,5,0
11,9,2,0
12,7,3,1
13,7,4,0
14,6,5,0
15,8,3,0
16,6,5,0
17,4,7,0
18,7,4,0
19,8,3,0
20,8,2,1
21,5,5,1
22,7,4,0
23,8,3,0
24,5,5,1
25,7,3,1
26,9,2,0
27,6,4,1
28,9,1,1
29,6,5,0
30,9,2,0
31,8,3,0
32,6,4,1
33,5,5,1
34,6,4,1
35,7,4,0
36,8,1,2
37,9,2,0
38,9,1,1
39,6,4,1
40,8,3,0
41,6,5,0
42,7,4,0
43,9,2,0
44,5,3,3
45,4,7,0
46,7,4,0
47,6,4,1
48,8,3,0
49,6,5,0
50,5,5,1
51,6,4,1
52,9,2,0
53,10,1,0
54,4,5,2
55,7,4,0
56,4,7,0
57,7,4,0
58,9,2,0
59,6,5,0
60,4,7,0
61,5,6,0
62,6,5,0
63,9,2,0
64,7,4,0
65,6,5,0
66,8,3,0
67,6,5,0
68,7,4,0
69,4,7,0
70,6,5,0
71,4,7,0
72,8,3,0
73,6,5,0
74,5,6,0
75,6,5,0
76,8,2,1
77,4,6,1
78,6,5,0
79,6,4,1
80,9,2,0
81,7,4,0
82,8,3,0
83,7,3,1
84,9,2,0
85,4,7,0
86,8,3,0
87,8,2,1
88,6,5,0
89,8,3,0
90,9,2,0
91,5,4,2
92,8,2,1
93,7,4,0
94,8,3,0
95,10,1,0
96,7,3,1
97,5,5,1
98,9,2,0
99,8,3,0
100,8,2,1
101,5,6,0
102,8,3,0
103,9,2,0
104,7,3,1
105,6,5,0
106,9,2,0
107,8,3,0
108,6,5,0
109,5,6,0
110,7,2,2
111,5,4,2
112,8,3,0
113,7,3,1
114,8,3,0
115,7,4,0
116,6,3,2
117,7,3,1
118,7,4,0
119,8,3,0
120,6,5,0
121,7,4,0
122,8,3,0
123,7,3,1
124,8,3,0
125,5,6,0
126,7,4,0
127,8,3,0
128,9,2,0
129,6,5,0
130,8,3,0
131,8,2,1
132,7,4,0
133,8,3,0
134,4,5,2
135,6,5,0
136,7,4,0
137,4,7,0
138,10,1,0
139,8,3,0
140,8,2,1
141,8,3,0
142,5,5,1
143,7,4,0
144,6,5,0
145,5,6,0
146,4,7,0
147,7,4,0
148,8,3,0
149,8,2,1
150,7,4,0
151,7,3,1
152,8,3,0
153,8,2,1
154,8,3,0
155,9,2,0
156,8,2,1
157,7,4,0
158,9,1,1
159,8,3,0
160,7,3,1
161,6,4,1
162,7,4,0
163,8,3,0
164,6,5,0
165,4,6,1
166,6,5,0
167,9,2,0
168,5,6,0
169,7,3,1
170,5,6,0
171,7,4,0
172,9,2,0
173,6,4,1
174,10,1,0
175,7,4,0
176,6,4,1
177,8,3,0
178,7,3,1
179,5,6,0
180,8,2,1
181,8,3,0
182,4,6,1
183,7,4,0
184,5,6,0
185,7,4,0
186,6,4,1
187,5,5,1
188,7,3,1
189,5,5,1
190,7,2,2
191,7,4,0
192,9,2,0
193,10,1,0
194,5,6,0
195,7,4,0
196,6,5,0
197,8,3,0
198,6,5,0
199,7,4,0
200,6,4,1
201,7,3,1
202,7,4,0
203,9,1,1
204,9,2,0
205,9,1,1
206,7,4,0
207,8,2,1
208,8,3,0
209,10,1,0
210,7,3,1
211,8,3,0
212,8,3,0
213,11,0,0
214,7,4,0
215,7,4,0
216,7,3,1
217,9,2,0
218,9,2,0
219,7,4,0
220,6,4,1
221,9,2,0
222,7,4,0
223,10,1,0
224,8,3,0
225,8,3,0
226,8,3,0
227,8,3,0
228,6,4,1
229,9,2,0
230,8,3,0
231,7,4,0
232,9,2,0
233,7,4,0
234,5,6,0
235,9,1,1
236,6,5,0
237,7,4,0
238,6,4,1
239,6,5,0
240,7,4,0
241,8,3,0
242,5,4,2
243,9,2,0
244,9,2,0
245,9,2,0
246,9,2,0
247,9,1,1
248,6,4,1
249,9,1,1
250,7,3,1
251,9,2,0
252,9,2,0
253,6,4,1
254,5,5,1
255,6,5,0
256,7,4,0
257,8,3,0
258,6,4,1
259,9,2,0
260,8,3,0
261,9,2,0
262,7,3,1
263,9,2,0
264,8,2,1
265,7,4,0
266,7,4,0
267,8,2,1
268,9,1,1
269,6,5,0
270,9,2,0
271,7,2,2
272,10,1,0
273,10,1,0
274,10,1,0
275,7,4,0
276,9,2,0
277,6,4,1
278,8,3,0
279,7,4,0
280,8,3,0
281,9,2,0
282,7,4,0
283,7,4,0
284,9,2,0
285,8,3,0
286,9,2,0
287,6,5,0
288,9,2,0
289,10,1,0
290,8,3,0
291,7,4,0
292,9,2,0
293,8,3,0
294,10,0,1
295,7,4,0
296,6,4,1
297,9,1,1
298,8,2,1
299,9,2,0
300,11,0,0
301,6,5,0
302,7,4,0
303,9,2,0
304,9,2,0
305,7,4,0
306,8,3,0
307,9,2,0
308,8,3,0
309,5,4,2
310,6,5,0
311,10,0,1
312,11,0,0
313,8,3,0
314,8,2,1
315,7,3,1
316,6,4,1
317,6,4,1
318,8,3,0
319,7,4,0
320,9,2,0
321,11,0,0
322,9,1,1
323,8,3,0
324,8,2,1
325,6,5,0
326,8,3,0
327,9,2,0
328,8,3,0
329,6,4,1
330,8,3,0
331,9,1,1
332,8,3,0
333,6,5,0
334,9,2,0
335,8,3,0
336,8,2,1
337,8,2,1
338,8,2,1
339,8,2,1
340,6,5,0
341,7,4,0
342,10,1,0
343,6,4,1
344,10,1,0
345,10,1,0
346,5,6,0
347,8,3,0
348,9,2,0
349,6,5,0
350,9,2,0
351,8,2,1
352,6,4,1
353,5,6,0
354,5,6,0
355,6,5,0
356,9,2,0
357,7,3,1
358,9,1,1
359,5,6,0
360,8,3,0
361,7,4,0
362,6,5,0
363,7,4,0
364,7,3,1
365,10,0,1
366,10,1,0
367,7,3,1
368,9,2,0
369,8,3,0
370,7,4,0
371,10,1,0
372,7,3,1
373,6,4,1
374,5,4,2
375,11,0,0
376,6,5,0
377,11,0,0
378,9,1,1
379,9,2,0
380,8,3,0
381,5,6,0
382,7,2,2
383,4,6,1
384,7,4,0
385,5,5,1
386,8,3,0
387,8,2,1
388,9,2,0
389,10,1,0
390,6,5,0
391,11,0,0
392,9,2,0
393,9,2,0
394,7,2,2
395,8,3,0
396,3,7,1
397,7,3,1
398,8,3,0
399,9,2,0
400,5,6,0
401,9,1,1
402,6,5,0
403,8,3,0
404,8,3,0
405,8,3,0
406,7,4,0
407,7,4,0
408,9,2,0
409,8,3,0
410,8,3,0
411,6,5,0
412,7,4,0
413,5,6,0
414,8,2,1
415,8,3,0
416,9,2,0
417,9,2,0
418,7,4,0
419,7,4,0
420,8,3,0
421,6,4,1
422,5,5,1
423,8,3,0
424,7,4,0
425,8,3,0
426,7,4,0
427,8,3,0
428,8,3,0
429,9,2,0
430,8,3,0
431,7,4,0
432,10,1,0
433,9,2,0
434,8,1,2
435,6,5,0
436,5,5,1
437,4,6,1
438,8,2,1
439,8,3,0
440,8,1,2
441,8,3,0
442,9,1,1
443,7,3,1
444,8,2,1
445,8,3,0
446,10,1,0
447,7,4,0
448,6,4,1
449,8,3,0
450,9,1,1
451,9,1,1
452,5,6,0
453,7,4,0
454,9,2,0
455,9,2,0
456,9,2,0
457,6,3,2
458,7,4,0
459,7,2,2
460,10,1,0
461,6,5,0
462,8,2,1
463,7,4,0
464,5,5,1
465,7,3,1
466,8,3,0
467,4,6,1
468,10,1,0
469,6,4,1
470,7,3,1
471,7,4,0
472,9,2,0
473,5,6,0
474,6,5,0
475,9,1,1
476,8,3,0
477,7,4,0
478,9,1,1
479,9,2,0
480,7,4,0
481,9,2,0
482,10,0,1
483,8,3,0
484,9,1,1
485,9,2,0
486,8,3,0
487,8,3,0
488,9,2,0
489,8,3,0
490,9,1,1
491,9,2,0
492,7,4,0
493,8,3,0
494,7,3,1
495,7,4,0
496,8,3,0
497,6,4,1
498,6,5,0
499,7,4,0
500,9,2,0
501,9,2,0
502,10,1,0
503,7,4,0
504,5,4,2
505,8,3,0
506,7,4,0
507,9,2,0
508,8,3,0
509,9,2,0
510,10,1,0
511,9,2,0
512,8,3,0
513,10,1,0
514,6,4,1
515,10,1,0
516,7,3,1
517,9,2,0
518,7,4,0
519,7,2,2
520,6,4,1
521,9,2,0
522,10,1,0
523,6,3,2
524,7,4,0
525,6,5,0
526,6,5,0
527,9,2,0
528,9,2,0
529,4,7,0
530,9,2,0
531,7,3,1
532,7,4,0
533,10,1,0
534,9,2,0
535,9,2,0
536,9,2,0
537,9,2,0
538,7,3,1
539,7,4,0
540,10,1,0
541,11,0,0
542,6,4,1
543,7,4,0
544,4,7,0
545,8,3,0
546,8,3,0
547,8,2,1
548,8,3,0
549,7,4,0
550,7,3,1
551,8,2,1
552,7,4,0
553,6,5,0
554,9,2,0
555,7,4,0
556,6,5,0
557,5,6,0
558,8,2,1
559,8,2,1
560,7,3,1
561,8,3,0
562,10,1,0
563,10,1,0
564,7,2,2
565,6,5,0
566,9,2,0
567,8,3,0
568,5,5,1
569,7,3,1
570,10,1,0
571,7,4,0
572,9,2,0
573,9,2,0
574,8,3,0
575,5,6,0
576,8,3,0
577,6,4,1
578,6,5,0
579,6,5,0
580,9,2,0
581,7,4,0
582,8,3,0
583,7,3,1
584,8,3,0
585,4,7,0
586,8,3,0
587,5,6,0
588,7,4,0
589,9,2,0
590,6,3,2
591,8,2,1
592,10,1,0
593,8,3,0
594,9,2,0
595,7,4,0
596,9,2,0
597,10,1,0
598,10,1,0
599,8,3,0
600,8,3,0
601,9,2,0
602,9,2,0
603,9,1,1
604,9,2,0
605,6,5,0
606,7,4,0
607,6,4,1
608,7,3,1
609,8,2,1
610,8,2,1
611,9,1,1
612,7,4,0
613,9,2,0
614,6,4,1
615,7,3,1
616,5,5,1
617,9,2,0
618,9,2,0
619,9,2,0
620,4,6,1
621,9,2,0
622,7,4,0
623,7,4,0
624,7,4,0
625,8,3,0
626,7,3,1
627,8,2,1
628,8,3,0
629,7,4,0
630,8,2,1
631,6,5,0
632,6,5,0
633,9,1,1
634,8,2,1
